label|ltable_id|rtable_id|possible_year.x|possible_year.y|short_words_removed.x|short_words_removed.y|fuzzy_similarity|fuzzy_similarity_sorted_tokens|fuzzy_similarity_partial_ratio|len_tokens_x|len_tokens_y|len_common_tokens|common_to_smaller_ratio|common_to_longer_ratio
0|1756|1418|2002|2001|web caching for database applications with oracle web cache jordan parker jesse anton zheng zeng lawrence jacobs tie zhong xiang liu sigmod conference|form based proxy caching for database backed web sites very large data bases qiong luo jeffrey naughton|46|47|45|22|18|4|0.2222222222222222|0.18181818181818182
0|217|2135|1998|1998|oracle industrial exhibit amy pogue vldb|objectivity industrial exhibit objectivity very large data bases|56|54|62|6|7|2|0.3333333333333333|0.2857142857142857
0|2476|1309|1999|1994|extracting large scale knowledge bases from the web andrew tomkins prabhakar raghavan ravi kumar sridhar rajagopalan vldb|amalgamating knowledge bases subrahmanian acm transactions database systems tods|43|43|45|17|12|2|0.16666666666666666|0.11764705882352941
1|610|1595|1995|1995|efficient optimistic concurrency control using loosely synchronized clocks sigmod conference barbara liskov atul adya robert gruber umesh maheshwari|efficient optimistic concurrency control using loosely synchronized clocks atul adya robert gruber barbara liskov umesh maheshwari international conference management data|71|87|78|18|22|17|0.9444444444444444|0.7727272727272727
0|2183|1630|1994|1994|odefs file system interface object oriented database narain gehani william roome jagadish vldb|unisql unified relational and object oriented database system won kim international conference management data|49|54|50|19|17|4|0.23529411764705882|0.21052631578947367
1|2580|616|2002|2002|emergent semantics and the multimedia semantic web william grosky farshad fotouhi sreenath sigmod record|emergent semantics and the multimedia semantic web grosky sreenath fotouhi acm sigmod record|83|91|78|17|18|15|0.8823529411764706|0.8333333333333334
0|420|1866|1996|1997|dwms data warehouse management system narendra mohan vldb|strudel web site management system mary fernandez daniela florescu jaewoo kang alon levy dan suciu international conference management data|40|36|63|8|21|3|0.375|0.14285714285714285
0|1541|747|1996|"225|237|2002"|data mining techniques sigmod conference jiawei han|data mining concepts and techniques jiawei han and micheline kamber fernando berzal nicolf mat acm sigmod record|45|56|67|7|19|6|0.8571428571428571|0.3157894736842105
0|1278|1799|2002|1998|qursed querying and reporting semistructured data yannis papakonstantinou michalis petropoulos vasilis vassalos sigmod conference|extracting schema from semistructured data svetlozar nestorov serge abiteboul rajeev motwani international conference management data|47|50|49|14|16|3|0.21428571428571427|0.1875
0|1832|910|2002|2002|advances databases and information systems adbis albertas caplinskas johann eder olegas vasilecas sigmod record|amicalola report database and information systems research challenges and opportunities semantic web and enterprises amit sheth robert meersman acm sigmod record|56|55|55|15|20|6|0.4|0.3
0|2232|1122|1998|1996|query unnesting object oriented databases leonidas fegaras sigmod conference|calibrating the query optimizer cost model iro object oriented federated database system georges gardarin fei sha zhao hui tang very large data bases|47|49|54|10|26|3|0.3|0.11538461538461539
1|1061|1284|2001|2001|data management for pervasive computing mitch cherniack stanley zdonik michael franklin vldb|data management for pervasive computing mitch cherniack michael franklin stanley zdonik very large data bases|76|89|80|14|16|13|0.9285714285714286|0.8125
0|1496|658|1997|2002|secure transaction processing firm real time database systems binto george jayant haritsa sigmod conference|databases and transaction processing application oriented approach philip lewis arthur bernstein michael kifer acm sigmod record|52|54|51|16|18|3|0.1875|0.16666666666666666
0|1491|1179|1995|1998|declarative updates relational databases weidong chen acm trans database syst|enhanced abstract data types object relational databases praveen seshadri the vldb journal the international journal very large data bases|54|48|57|11|18|2|0.18181818181818182|0.1111111111111111
1|1459|1317|1994|1994|taxonomy for secure object oriented databases sebastiaan von solms martin olivier acm trans database syst|taxonomy for secure object oriented databases martin olivier sebastiaan von solms acm transactions database systems tods|78|92|77|18|20|16|0.8888888888888888|0.8
0|2061|1072|1996|1997|what the data warehousing problem are materialized views the answer inderpal singh mumick ashish gupta vldb|algorithms for materialized view design data warehousing environment jian yang kamalakar karlapalem qing very large data bases|45|51|48|16|18|3|0.1875|0.16666666666666666
1|2463|1546|1995|1995|enterprise objects framework second generation object relational enabler charly kleissner sigmod conference|enterprise objects framework second generation object relational enabler charly kleissner international conference management data|85|83|90|13|17|12|0.9230769230769231|0.7058823529411765
0|198|1213|2000|1996|effective timestamping databases christian jensen kristian torp richard snodgrass vldb|priority assignment real time active databases rajendran sivasankaran john stankovic don towsley bhaskar purimetla krithi ramamritham the vldb journal the international journal very large data bases|39|42|47|14|28|3|0.21428571428571427|0.10714285714285714
0|267|1631|2000|"93|1994"|lambda odmg based object oriented dbms arvind rajendran david maier leonidas fegaras chandrasekhar srinivasan sigmod conference|odmg standard for object oriented dbmss cattell international conference management data|49|55|53|18|16|4|0.25|0.2222222222222222
1|516|735|2002|2002|compressing sql workloads surajit chaudhuri ashish kumar gupta vivek narasayya sigmod conference|compressing sql workloads international conference management data surajit chaudhuri ashish kumar gupta vivek narasayya|70|83|69|13|16|11|0.8461538461538461|0.6875
0|1021|225|1995|1998|the algres testbed chimera active object oriented database system giuseppe psaila stefano ceri stefano paraboschi piero fraternali sigmod conference|the trigs active object oriented database system overview kappel retschitzegger acm sigmod record|58|52|61|20|16|8|0.5|0.4
1|1938|73|2000|"233|466|232|2000"|wrapping query languages and efficient xml integration sigmod conference simÃ vassilis christophides sophie cluet|wrapping query languages and efficient xml integration vassilis christophides sophie cluet sim international conference management data|67|85|73|18|21|14|0.7777777777777778|0.6666666666666666
0|1466|990|1995|1998|document management database problem rudolf bayer vldb|web site management database problem daniela florescu alon levy dan suciu very large data bases|56|56|66|9|18|4|0.4444444444444444|0.2222222222222222
0|1118|1915|1996|1997|index nesting efficient approach indexing object oriented databases jiawei han beng chin ooi hongjun kian lee tan vldb|converting relational object oriented databases joseph fong acm sigmod record|52|43|61|23|11|4|0.36363636363636365|0.17391304347826086
1|2038|895|2000|2000|controlling data warehouses with knowledge networks jan dirk becker matthias jarke andreas boehmer elvira schaefer vldb|controlling data warehouses with knowledge networks very large data bases elvira schaefer jan dirk becker andreas boehmer matthias jarke|71|91|70|16|18|15|0.9375|0.8333333333333334
0|162|1511|1995|1995|temporal database system implementations michael hlen sigmod record|temporal conditions and integrity constraints active database systems international conference management data prasad sistla ouri wolfson|43|44|53|10|20|2|0.2|0.1
1|624|920|2003|2003|ansi sql hierarchical processing can fully integrate native xml sigmod record michael david|ansi sql hierarchical processing can fully integrate native xml acm sigmod record michael david|98|98|96|14|15|14|1.0|0.9333333333333333
1|2227|2091|2003|2003|warping indexes with envelope transforms for query humming dennis shasha yunyue zhu sigmod conference|warping indexes with envelope transforms for query humming yunyue zhu dennis shasha international conference management data|77|82|81|15|19|14|0.9333333333333333|0.7368421052631579
0|575|650|2002|2002|reminiscences influential papers theodore johnson amr abbadi richard snodgrass kenneth ross sigmod record|influential papers ken ross acm sigmod record|52|55|62|17|7|5|0.7142857142857143|0.29411764705882354
0|39|323|2003|1996|database research arlington sigmod record sharma chakravarthy alp aslandogan ramez elmasri leonidas fegaras jung hwan|database research arizona state university susan urban suzanne dietrich forouzan golshani acm sigmod record|49|52|50|19|17|5|0.29411764705882354|0.2631578947368421
0|2224|1051|1997|1996|lore database management system for semistructured data sigmod record roy goldman serge abiteboul jennifer widom dallan quass jason mchugh|dwms data warehouse management system narendra mohan very large data bases|49|49|55|20|10|3|0.3|0.15
0|1610|1915|2002|1997|discover keyword search relational databases vagelis hristidis yannis papakonstantinou vldb|converting relational object oriented databases joseph fong acm sigmod record|46|45|47|11|11|2|0.18181818181818182|0.18181818181818182
0|1798|493|2003|2000|incremental computation and maintenance temporal aggregates jun yang jennifer widom vldb|incremental maintenance recursive views using relational calculus sql guozhu dong jianwen acm sigmod record|49|51|49|13|16|3|0.23076923076923078|0.1875
0|373|2239|1995|1994|procedures object oriented query languages kazimierz subieta jacek leszczylowski yahiko kambayashi vldb|effective deductive object oriented database through language integration maria barja norman paton alvaro fernandes howard williams andrew dinn very large data bases|43|41|50|13|27|2|0.15384615384615385|0.07407407407407407
1|164|1467|1995|1995|opossum desk top schema management through customizable visualization vldb miron livny eben haber yannis ioannidis|opossum desk top schema management through customizable visualization very large data bases eben haber yannis ioannidis miron livny|84|89|86|17|20|16|0.9411764705882353|0.8
0|1143|1812|1998|1997|dms parallel data mining server felicity george vldb|scalable parallel data mining for association rules eui hong han george karypis vipin kumar international conference management data|44|43|59|10|19|4|0.4|0.21052631578947367
1|2081|1419|1994|1994|naos efficient and modular reactive capabilities object oriented database system thierry coupaye svensen christine collet vldb|naos efficient and modular reactive capabilities object oriented database system christine collet thierry coupaye svensen very large data bases|84|92|85|19|22|18|0.9473684210526315|0.8181818181818182
0|924|1026|2000|1997|user adaptive exploration multidimensional data sunita sarawagi vldb|foundation for multi dimensional databases marc gyssens laks lakshmanan very large data bases|54|46|56|9|16|1|0.1111111111111111|0.0625
1|1189|1969|1996|1996|query language for multidimensional arrays design implementation and optimization techniques sigmod conference limsoon wong rona machlin leonid libkin|query language for multidimensional arrays design implementation and optimization techniques leonid libkin rona machlin limsoon wong international conference management data|77|87|82|19|23|18|0.9473684210526315|0.782608695652174
1|331|1701|1994|1994|comprehension syntax limsoon wong dan suciu val tannen peter buneman leonid libkin sigmod record|comprehension syntax peter buneman leonid libkin dan suciu val tannen limsoon wong acm sigmod record|69|98|67|14|15|14|1.0|0.9333333333333333
